week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV-004,STR-005,222,54,119,157,0
2024-01-01,BEV-004,STR-006,157,79,162,74,0
2024-01-01,BEV-004,STR-007,144,69,90,123,0
2024-01-01,BEV-004,STR-008,267,88,48,307,0
2024-01-01,BEV-004,STR-009,141,37,61,117,0
2024-01-01,BEV-004,STR-010,108,58,38,128,0
2024-01-01,BEV-004,STR-011,203,35,41,197,0
2024-01-01,BEV-004,STR-012,264,84,81,267,0
2024-01-01,BEV-004,STR-013,260,52,50,262,0
2024-01-01,BEV-004,STR-014,106,65,75,96,0
2024-01-01,BEV-004,STR-015,164,87,64,187,0
2024-01-01,BEV-004,STR-016,130,75,49,156,0
2024-01-01,BEV-004,STR-017,269,70,75,264,0
2024-01-01,BEV-004,STR-018,182,62,41,203,0
2024-01-01,BEV-004,STR-019,121,42,44,119,0
2024-01-01,BEV-004,STR-020,125,45,80,90,0
2024-01-01,BEV-004,STR-021,216,31,80,167,0
2024-01-01,BEV-004,STR-022,231,66,53,244,0
2024-01-01,BEV-004,STR-023,231,38,94,175,0
2024-01-01,BEV-004,STR-024,106,49,145,10,0
2024-01-01,BEV-004,STR-025,212,63,120,155,0
2024-01-01,BEV-004,STR-026,237,34,112,159,0
2024-01-01,BEV-004,STR-027,254,34,82,206,0
2024-01-01,BEV-004,STR-028,222,52,102,172,0
2024-01-01,BEV-004,STR-029,231,70,79,222,0
2024-01-01,BEV-004,STR-030,123,57,103,77,0
2024-01-01,BEV-005,STR-001,104,83,62,125,0
2024-01-01,BEV-005,STR-002,222,39,37,224,0
2024-01-01,BEV-005,STR-003,132,40,49,123,0
2024-01-01,BEV-005,STR-004,147,52,50,149,0
2024-01-01,BEV-005,STR-005,222,87,90,219,0
2024-01-01,BEV-005,STR-006,110,46,48,108,0
2024-01-01,BEV-005,STR-007,252,65,42,275,0
2024-01-01,BEV-005,STR-008,122,70,47,145,0
2024-01-01,BEV-005,STR-009,247,64,49,262,0
2024-01-01,BEV-005,STR-010,218,71,35,254,0
2024-01-01,BEV-005,STR-011,241,90,40,291,0
2024-01-01,BEV-005,STR-012,129,40,67,102,0
2024-01-01,BEV-005,STR-013,249,76,72,253,0
2024-01-01,BEV-005,STR-014,244,51,87,208,0
2024-01-01,BEV-005,STR-015,234,32,83,183,0
2024-01-01,BEV-005,STR-016,97,35,82,50,0
2024-01-01,BEV-005,STR-017,254,79,32,301,0
2024-01-01,BEV-005,STR-018,157,71,66,162,0
2024-01-01,BEV-005,STR-019,236,56,43,249,0
2024-01-01,BEV-005,STR-020,253,31,69,215,0
2024-01-01,BEV-005,STR-021,250,64,61,253,0
2024-01-01,BEV-005,STR-022,254,49,48,255,0
2024-01-01,BEV-005,STR-023,152,81,60,173,0
2024-01-01,BEV-005,STR-024,265,55,81,239,0
2024-01-01,BEV-005,STR-025,206,34,49,191,0
2024-01-01,BEV-005,STR-026,105,40,74,71,0
2024-01-01,BEV-005,STR-027,196,60,58,198,0
2024-01-01,BEV-005,STR-028,142,51,59,134,0
2024-01-01,BEV-005,STR-029,126,50,68,108,0
2024-01-01,BEV-005,STR-030,171,76,85,162,0
2024-01-01,BEV-006,STR-001,216,147,204,159,0
2024-01-01,BEV-006,STR-002,204,90,175,119,0
2024-01-01,BEV-006,STR-003,286,107,141,252,0
2024-01-01,BEV-006,STR-004,175,87,122,140,0
2024-01-01,BEV-006,STR-005,364,81,207,238,0
2024-01-01,BEV-006,STR-006,445,142,143,444,0
2024-01-01,BEV-006,STR-007,231,113,139,205,0
2024-01-01,BEV-006,STR-008,389,113,115,387,0
2024-01-01,BEV-006,STR-009,404,52,89,367,0
2024-01-01,BEV-006,STR-010,351,114,61,404,0
2024-01-01,BEV-006,STR-011,273,77,108,242,0
2024-01-01,BEV-006,STR-012,330,56,124,262,0
2024-01-01,BEV-006,STR-013,294,113,56,351,0
2024-01-01,BEV-006,STR-014,390,86,126,350,0
2024-01-01,BEV-006,STR-015,154,63,118,99,0
2024-01-01,BEV-006,STR-016,218,83,105,196,0
2024-01-01,BEV-006,STR-017,337,147,143,341,0
2024-01-01,BEV-006,STR-018,337,55,101,291,0
2024-01-01,BEV-006,STR-019,176,122,101,197,0
2024-01-01,BEV-006,STR-020,249,96,121,224,0
2024-01-01,BEV-006,STR-021,297,59,120,236,0
2024-01-01,BEV-006,STR-022,408,107,99,416,0
2024-01-01,BEV-006,STR-023,431,85,147,369,0
2024-01-01,BEV-006,STR-024,210,66,129,147,0
2024-01-01,BEV-006,STR-025,351,97,62,386,0
2024-01-01,BEV-006,STR-026,435,96,93,438,0
2024-01-01,BEV-006,STR-027,223,75,146,152,0
2024-01-01,BEV-006,STR-028,410,101,127,384,0
2024-01-01,BEV-006,STR-029,170,55,114,111,0
2024-01-01,BEV-006,STR-030,220,141,54,307,0
2024-01-01,BEV-007,STR-001,392,116,92,416,0
2024-01-01,BEV-007,STR-002,226,127,108,245,0
2024-01-01,BEV-007,STR-003,221,91,115,197,0
2024-01-01,BEV-007,STR-004,313,70,128,255,0
2024-01-01,BEV-007,STR-005,303,125,100,328,0
2024-01-01,BEV-007,STR-006,409,115,93,431,0
2024-01-01,BEV-007,STR-007,400,140,118,422,0
2024-01-01,BEV-007,STR-008,303,110,122,291,0
2024-01-01,BEV-007,STR-009,338,92,52,378,0
2024-01-01,BEV-007,STR-010,206,103,136,173,0
2024-01-01,BEV-007,STR-011,307,142,124,325,0
2024-01-01,BEV-007,STR-012,163,126,138,151,0
2024-01-01,BEV-007,STR-013,285,133,110,308,0
2024-01-01,BEV-007,STR-014,446,123,150,419,0
2024-01-01,BEV-007,STR-015,176,124,79,221,0
2024-01-01,BEV-007,STR-016,237,117,111,243,0
2024-01-01,BEV-007,STR-017,344,68,130,282,0
2024-01-01,BEV-007,STR-018,274,54,137,191,0
2024-01-01,BEV-007,STR-019,206,74,123,157,0
2024-01-01,BEV-007,STR-020,375,90,52,413,0
2024-01-01,BEV-007,STR-021,227,102,103,226,0
2024-01-01,BEV-007,STR-022,254,102,138,218,0
2024-01-01,BEV-007,STR-023,391,144,114,421,0
2024-01-01,BEV-007,STR-024,181,140,143,178,0
2024-01-01,BEV-007,STR-025,415,76,67,424,0
2024-01-01,BEV-007,STR-026,316,134,121,329,0
2024-01-01,BEV-007,STR-027,419,98,111,406,0
2024-01-01,BEV-007,STR-028,238,108,90,256,0
2024-01-01,BEV-007,STR-029,325,119,118,326,0
2024-01-01,BEV-007,STR-030,285,128,95,318,0
2024-01-01,BEV-008,STR-001,119,35,50,104,0
2024-01-01,BEV-008,STR-002,146,34,37,143,0
2024-01-01,BEV-008,STR-003,143,65,39,169,0
2024-01-01,BEV-008,STR-004,195,40,33,202,0
2024-01-01,BEV-008,STR-005,159,55,50,164,0
2024-01-01,BEV-008,STR-006,140,38,70,108,0
2024-01-01,BEV-008,STR-007,209,44,27,226,0
2024-01-01,BEV-008,STR-008,107,38,92,53,0
2024-01-01,BEV-008,STR-009,90,42,35,97,0
2024-01-01,BEV-008,STR-010,192,33,92,133,0
2024-01-01,BEV-008,STR-011,139,55,65,129,0
2024-01-01,BEV-008,STR-012,97,59,103,53,0
2024-01-01,BEV-008,STR-013,132,23,125,30,0
2024-01-01,BEV-008,STR-014,127,60,131,56,0
2024-01-01,BEV-008,STR-015,83,26,34,75,0
2024-01-01,BEV-008,STR-016,154,65,46,173,0
2024-01-01,BEV-008,STR-017,95,63,50,108,0
2024-01-01,BEV-008,STR-018,105,20,69,56,0
2024-01-01,BEV-008,STR-019,110,46,55,101,0
2024-01-01,BEV-008,STR-020,191,50,61,180,0
2024-01-01,BEV-008,STR-021,121,68,61,128,0
2024-01-01,BEV-008,STR-022,152,38,38,152,0
2024-01-01,BEV-008,STR-023,85,69,61,93,0
2024-01-01,BEV-008,STR-024,129,54,25,158,0
2024-01-01,BEV-008,STR-025,79,31,67,43,0
2024-01-01,BEV-008,STR-026,115,22,46,91,0
2024-01-01,BEV-008,STR-027,196,31,45,182,0
2024-01-01,BEV-008,STR-028,144,22,67,99,0
2024-01-01,BEV-008,STR-029,146,56,20,182,0
2024-01-01,BEV-008,STR-030,97,41,58,80,0
2024-01-01,BEV-009,STR-001,186,61,38,209,0
2024-01-01,BEV-009,STR-002,204,51,54,201,0
2024-01-01,BEV-009,STR-003,199,49,28,220,0
2024-01-01,BEV-009,STR-004,119,27,37,109,0
2024-01-01,BEV-009,STR-005,111,66,41,136,0
2024-01-01,BEV-009,STR-006,135,65,49,151,0
2024-01-01,BEV-009,STR-007,73,67,31,109,0
2024-01-01,BEV-009,STR-008,145,56,41,160,0
2024-01-01,BEV-009,STR-009,119,31,63,87,0
2024-01-01,BEV-009,STR-010,173,47,59,161,0
2024-01-01,BEV-009,STR-011,153,25,52,126,0
2024-01-01,BEV-009,STR-012,94,31,45,80,0
2024-01-01,BEV-009,STR-013,192,40,28,204,0
2024-01-01,BEV-009,STR-014,71,36,35,72,0
2024-01-01,BEV-009,STR-015,130,48,44,134,0
2024-01-01,BEV-009,STR-016,138,41,68,111,0
2024-01-01,BEV-009,STR-017,72,36,39,69,0
2024-01-01,BEV-009,STR-018,162,64,61,165,0
2024-01-01,BEV-009,STR-019,85,62,35,112,0
2024-01-01,BEV-009,STR-020,189,39,27,201,0
2024-01-01,BEV-009,STR-021,173,63,30,206,0
2024-01-01,BEV-009,STR-022,149,64,52,161,0
2024-01-01,BEV-009,STR-023,145,43,27,161,0
2024-01-01,BEV-009,STR-024,126,34,59,101,0
2024-01-01,BEV-009,STR-025,192,29,28,193,0
2024-01-01,BEV-009,STR-026,165,46,49,162,0
2024-01-01,BEV-009,STR-027,210,50,64,196,0
2024-01-01,BEV-009,STR-028,207,62,68,201,0
2024-01-01,BEV-009,STR-029,133,63,33,163,0
2024-01-01,BEV-009,STR-030,90,53,68,75,0
2024-01-01,BEV-010,STR-001,205,65,48,222,0
2024-01-01,BEV-010,STR-002,89,56,43,102,0
2024-01-01,BEV-010,STR-003,85,55,27,113,0
2024-01-01,BEV-010,STR-004,121,56,52,125,0
2024-01-01,BEV-010,STR-005,108,30,54,84,0
2024-01-01,BEV-010,STR-006,203,48,40,211,0
2024-01-01,BEV-010,STR-007,122,65,27,160,0
2024-01-01,BEV-010,STR-008,200,48,102,146,0
2024-01-01,BEV-010,STR-009,201,46,40,207,0
2024-01-01,BEV-010,STR-010,188,63,90,161,0
2024-01-01,BEV-010,STR-011,171,36,77,130,0
2024-01-01,BEV-010,STR-012,88,22,39,71,0
2024-01-01,BEV-010,STR-013,86,54,78,62,0
2024-01-01,BEV-010,STR-014,87,50,49,88,0
2024-01-01,BEV-010,STR-015,143,46,22,167,0
2024-01-01,BEV-010,STR-016,104,69,31,142,0
2024-01-01,BEV-010,STR-017,177,43,61,159,0
2024-01-01,BEV-010,STR-018,184,44,44,184,0
2024-01-01,BEV-010,STR-019,90,63,44,109,0
2024-01-01,BEV-010,STR-020,208,28,62,174,0
2024-01-01,BEV-010,STR-021,159,27,61,125,0
2024-01-01,BEV-010,STR-022,207,45,31,221,0
2024-01-01,BEV-010,STR-023,102,66,53,115,0
2024-01-01,BEV-010,STR-024,70,68,34,104,0
2024-01-01,BEV-010,STR-025,146,49,21,174,0
2024-01-01,BEV-010,STR-026,209,47,63,193,0
2024-01-01,BEV-010,STR-027,167,34,54,147,0
2024-01-01,BEV-010,STR-028,187,42,35,194,0
2024-01-01,BEV-010,STR-029,140,32,29,143,0
2024-01-01,BEV-010,STR-030,98,22,66,54,0
2024-01-01,BEV-011,STR-001,237,74,146,165,0
2024-01-01,BEV-011,STR-002,97,31,41,87,0
2024-01-01,BEV-011,STR-003,233,68,89,212,0
2024-01-01,BEV-011,STR-004,142,72,146,68,0
2024-01-01,BEV-011,STR-005,139,59,46,152,0
2024-01-01,BEV-011,STR-006,94,33,76,51,0
2024-01-01,BEV-011,STR-007,139,77,125,91,0
2024-01-01,BEV-011,STR-008,227,45,71,201,0
2024-01-01,BEV-011,STR-009,233,74,61,246,0
2024-01-01,BEV-011,STR-010,162,40,68,134,0
2024-01-01,BEV-011,STR-011,116,67,44,139,0
2024-01-01,BEV-011,STR-012,136,51,58,129,0
2024-01-01,BEV-011,STR-013,150,28,44,134,0
2024-01-01,BEV-011,STR-014,231,72,60,243,0
2024-01-01,BEV-011,STR-015,240,68,36,272,0
2024-01-01,BEV-011,STR-016,222,56,52,226,0
2024-01-01,BEV-011,STR-017,168,66,28,206,0
2024-01-01,BEV-011,STR-018,177,75,67,185,0
2024-01-01,BEV-011,STR-019,161,69,58,172,0
2024-01-01,BEV-011,STR-020,184,34,51,167,0
2024-01-01,BEV-011,STR-021,176,36,44,168,0
2024-01-01,BEV-011,STR-022,217,55,73,199,0
2024-01-01,BEV-011,STR-023,156,79,83,152,0
2024-01-01,BEV-011,STR-024,198,28,106,120,0
2024-01-01,BEV-011,STR-025,186,60,103,143,0
2024-01-01,BEV-011,STR-026,142,41,87,96,0
2024-01-01,BEV-011,STR-027,100,53,63,90,0
2024-01-01,BEV-011,STR-028,217,71,134,154,0
2024-01-01,BEV-011,STR-029,148,49,121,76,0
2024-01-01,BEV-011,STR-030,90,80,128,42,0
2024-01-01,BEV-012,STR-001,128,76,29,175,0
2024-01-01,BEV-012,STR-002,230,71,73,228,0
2024-01-01,BEV-012,STR-003,223,38,67,194,0
2024-01-01,BEV-012,STR-004,133,80,55,158,0
2024-01-01,BEV-012,STR-005,157,25,46,136,0
2024-01-01,BEV-012,STR-006,128,72,38,162,0
2024-01-01,BEV-012,STR-007,202,40,32,210,0
2024-01-01,BEV-012,STR-008,234,70,69,235,0
2024-01-01,BEV-012,STR-009,181,40,38,183,0
2024-01-01,BEV-012,STR-010,162,74,60,176,0
2024-01-01,BEV-012,STR-011,177,54,43,188,0
2024-01-01,BEV-012,STR-012,171,44,59,156,0
2024-01-01,BEV-012,STR-013,172,57,41,188,0
2024-01-01,BEV-012,STR-014,199,31,56,174,0
2024-01-01,BEV-012,STR-015,200,73,76,197,0
2024-01-01,BEV-012,STR-016,161,38,78,121,0
2024-01-01,BEV-012,STR-017,160,51,48,163,0
2024-01-01,BEV-012,STR-018,224,80,27,277,0
2024-01-01,BEV-012,STR-019,117,26,39,104,0
2024-01-01,BEV-012,STR-020,221,62,41,242,0
2024-01-01,BEV-012,STR-021,186,43,62,167,0
2024-01-01,BEV-012,STR-022,130,46,34,142,0
2024-01-01,BEV-012,STR-023,177,61,39,199,0
2024-01-01,BEV-012,STR-024,142,56,78,120,0
2024-01-01,BEV-012,STR-025,166,41,60,147,0
2024-01-01,BEV-012,STR-026,205,71,73,203,0
2024-01-01,BEV-012,STR-027,205,54,66,193,0
2024-01-01,BEV-012,STR-028,170,35,35,170,0
2024-01-01,BEV-012,STR-029,219,56,33,242,0
2024-01-01,BEV-012,STR-030,218,66,36,248,0
2024-01-01,BEV-013,STR-001,224,32,33,223,0
2024-01-01,BEV-013,STR-002,109,90,83,116,0
2024-01-01,BEV-013,STR-003,261,33,82,212,0
2024-01-01,BEV-013,STR-004,91,56,78,69,0
2024-01-01,BEV-013,STR-005,251,44,38,257,0
2024-01-01,BEV-013,STR-006,128,30,34,124,0
2024-01-01,BEV-013,STR-007,219,59,43,235,0
2024-01-01,BEV-013,STR-008,105,69,53,121,0
2024-01-01,BEV-013,STR-009,260,89,70,279,0
2024-01-01,BEV-013,STR-010,213,72,69,216,0
2024-01-01,BEV-013,STR-011,94,30,61,63,0
2024-01-01,BEV-013,STR-012,231,56,64,223,0
2024-01-01,BEV-013,STR-013,94,63,30,127,0
2024-01-01,BEV-013,STR-014,160,64,76,148,0
2024-01-01,BEV-013,STR-015,94,62,48,108,0
2024-01-01,BEV-013,STR-016,268,73,82,259,0
2024-01-01,BEV-013,STR-017,135,36,57,114,0
2024-01-01,BEV-013,STR-018,114,63,88,89,0
2024-01-01,BEV-013,STR-019,151,42,39,154,0
2024-01-01,BEV-013,STR-020,224,46,69,201,0
2024-01-01,BEV-013,STR-021,180,47,82,145,0
2024-01-01,BEV-013,STR-022,191,35,80,146,0
2024-01-01,BEV-013,STR-023,193,59,53,199,0
2024-01-01,BEV-013,STR-024,152,74,66,160,0
2024-01-01,BEV-013,STR-025,166,73,44,195,0
2024-01-01,BEV-013,STR-026,110,71,82,99,0
2024-01-01,BEV-013,STR-027,256,78,84,250,0
2024-01-01,BEV-013,STR-028,113,55,32,136,0
2024-01-01,BEV-013,STR-029,186,65,54,197,0
2024-01-01,BEV-013,STR-030,104,70,60,114,0
2024-01-01,BEV-014,STR-001,299,61,41,319,0
2024-01-01,BEV-014,STR-002,247,95,50,292,0
2024-01-01,BEV-014,STR-003,264,52,82,234,0
2024-01-01,BEV-014,STR-004,355,45,107,293,0
2024-01-01,BEV-014,STR-005,174,112,69,217,0
2024-01-01,BEV-014,STR-006,189,45,100,134,0
2024-01-01,BEV-014,STR-007,295,75,49,321,0
2024-01-01,BEV-014,STR-008,264,44,109,199,0
2024-01-01,BEV-014,STR-009,357,80,62,375,0
2024-01-01,BEV-014,STR-010,173,115,42,246,0
2024-01-01,BEV-014,STR-011,312,90,58,344,0
2024-01-01,BEV-014,STR-012,196,60,49,207,0
2024-01-01,BEV-014,STR-013,181,112,112,181,0
2024-01-01,BEV-014,STR-014,293,109,89,313,0
2024-01-01,BEV-014,STR-015,309,57,139,227,0
2024-01-01,BEV-014,STR-016,208,46,90,164,0
2024-01-01,BEV-014,STR-017,334,49,90,293,0
2024-01-01,BEV-014,STR-018,277,116,156,237,0
2024-01-01,BEV-014,STR-019,203,43,195,51,0
2024-01-01,BEV-014,STR-020,235,102,149,188,0
2024-01-01,BEV-014,STR-021,360,88,116,332,0
2024-01-01,BEV-014,STR-022,269,88,147,210,0
2024-01-01,BEV-014,STR-023,195,71,100,166,0
2024-01-01,BEV-014,STR-024,159,88,71,176,0
2024-01-01,BEV-014,STR-025,201,86,117,170,0
2024-01-01,BEV-014,STR-026,198,96,78,216,0
2024-01-01,BEV-014,STR-027,146,56,172,30,0
2024-01-01,BEV-014,STR-028,234,111,79,266,0
2024-01-01,BEV-014,STR-029,146,43,200,0,1
2024-01-01,BEV-014,STR-030,143,116,85,174,0
2024-01-01,BEV-015,STR-001,316,99,126,289,0
2024-01-01,BEV-015,STR-002,299,102,51,350,0
2024-01-01,BEV-015,STR-003,193,142,99,236,0
2024-01-01,BEV-015,STR-004,274,123,121,276,0
2024-01-01,BEV-015,STR-005,236,137,116,257,0
2024-01-01,BEV-015,STR-006,236,67,98,205,0
2024-01-01,BEV-015,STR-007,304,84,84,304,0
2024-01-01,BEV-015,STR-008,224,58,113,169,0
2024-01-01,BEV-015,STR-009,372,85,71,386,0
2024-01-01,BEV-015,STR-010,303,111,103,311,0
2024-01-01,BEV-015,STR-011,189,96,150,135,0
2024-01-01,BEV-015,STR-012,276,142,82,336,0
2024-01-01,BEV-015,STR-013,403,126,130,399,0
2024-01-01,BEV-015,STR-014,250,108,128,230,0
2024-01-01,BEV-015,STR-015,219,88,63,244,0
2024-01-01,BEV-015,STR-016,352,92,50,394,0
2024-01-01,BEV-015,STR-017,344,92,129,307,0
2024-01-01,BEV-015,STR-018,321,105,106,320,0
2024-01-01,BEV-015,STR-019,219,88,133,174,0
2024-01-01,BEV-015,STR-020,252,111,91,272,0
2024-01-01,BEV-015,STR-021,240,100,90,250,0
2024-01-01,BEV-015,STR-022,299,144,90,353,0
2024-01-01,BEV-015,STR-023,401,123,138,386,0
2024-01-01,BEV-015,STR-024,274,91,150,215,0
2024-01-01,BEV-015,STR-025,293,150,98,345,0
2024-01-01,BEV-015,STR-026,336,64,100,300,0
2024-01-01,BEV-015,STR-027,252,125,122,255,0
2024-01-01,BEV-015,STR-028,242,137,119,260,0
2024-01-01,BEV-015,STR-029,431,53,148,336,0
2024-01-01,BEV-015,STR-030,386,140,143,383,0
2024-01-08,BEV-001,STR-001,194,48,115,127,0
2024-01-08,BEV-001,STR-002,155,78,178,55,0
2024-01-08,BEV-001,STR-003,159,94,112,141,0
2024-01-08,BEV-001,STR-004,273,101,128,246,0
2024-01-08,BEV-001,STR-005,249,93,196,146,0
2024-01-08,BEV-001,STR-006,212,108,155,165,0
2024-01-08,BEV-001,STR-007,141,53,221,0,1
2024-01-08,BEV-001,STR-008,288,85,71,302,0
2024-01-08,BEV-001,STR-009,285,118,61,342,0
2024-01-08,BEV-001,STR-010,264,91,45,310,0
2024-01-08,BEV-001,STR-011,323,95,82,336,0
2024-01-08,BEV-001,STR-012,122,52,53,121,0
2024-01-08,BEV-001,STR-013,176,105,73,208,0
2024-01-08,BEV-001,STR-014,262,114,106,270,0
2024-01-08,BEV-001,STR-015,176,97,113,160,0
2024-01-08,BEV-001,STR-016,220,99,87,232,0
2024-01-08,BEV-001,STR-017,296,104,115,285,0
2024-01-08,BEV-001,STR-018,208,43,59,192,0
2024-01-08,BEV-001,STR-019,146,77,101,122,0
2024-01-08,BEV-001,STR-020,355,50,93,312,0
2024-01-08,BEV-001,STR-021,332,58,54,336,0
2024-01-08,BEV-001,STR-022,199,83,84,198,0
2024-01-08,BEV-001,STR-023,253,101,198,156,0
2024-01-08,BEV-001,STR-024,232,97,149,180,0
2024-01-08,BEV-001,STR-025,131,54,116,69,0
2024-01-08,BEV-001,STR-026,285,53,87,251,0
2024-01-08,BEV-001,STR-027,309,71,130,250,0
2024-01-08,BEV-001,STR-028,160,82,163,79,0
2024-01-08,BEV-001,STR-029,238,69,193,114,0
2024-01-08,BEV-001,STR-030,167,95,173,89,0
2024-01-08,BEV-002,STR-001,127,118,90,155,0
2024-01-08,BEV-002,STR-002,235,115,65,285,0
2024-01-08,BEV-002,STR-003,219,40,94,165,0
2024-01-08,BEV-002,STR-004,172,75,67,180,0
2024-01-08,BEV-002,STR-005,267,53,48,272,0
2024-01-08,BEV-002,STR-006,167,86,108,145,0
2024-01-08,BEV-002,STR-007,170,98,81,187,0
2024-01-08,BEV-002,STR-008,187,102,54,235,0
2024-01-08,BEV-002,STR-009,283,80,107,256,0
2024-01-08,BEV-002,STR-010,219,118,116,221,0
2024-01-08,BEV-002,STR-011,270,54,90,234,0
2024-01-08,BEV-002,STR-012,210,98,84,224,0
2024-01-08,BEV-002,STR-013,164,78,119,123,0
2024-01-08,BEV-002,STR-014,271,50,118,203,0
2024-01-08,BEV-002,STR-015,200,55,57,198,0
2024-01-08,BEV-002,STR-016,198,54,70,182,0
2024-01-08,BEV-002,STR-017,215,58,63,210,0
